,Number_of_beds,Number_of_hospitals,State,County,Urban_Rural_Code,Deaths_COVID,Deaths_total,never,rarely,sometimes,frequently,always,mask_score
27,1777.0,3.0,CA,Napa,Small metro,33,"1,254",0.017,0.026,0.033,0.149,0.773,3.631
28,174.0,2.0,CA,Nevada,Micropolitan,48,"1,017",0.003,0.054,0.084,0.177,0.682,3.481
29,7985.0,38.0,CA,Orange,Large central metro,"1,898","22,887",0.023,0.021,0.046,0.156,0.754,3.597
30,732.0,3.0,CA,Placer,Large fringe metro,184,"4,064",0.012,0.023,0.072,0.201,0.693,3.542
31,101.0,2.0,CA,Plumas,,0,0,0.063,0.067,0.053,0.146,0.671,3.295
32,4067.0,23.0,CA,Riverside,Large central metro,"1,859","19,405",0.026,0.014,0.041,0.116,0.803,3.656
33,3489.0,16.0,CA,Sacramento,Large central metro,763,"13,152",0.025,0.028,0.062,0.164,0.722,3.532
34,144.0,2.0,CA,San Benito,Large fringe metro,17,305,0.018,0.004,0.063,0.175,0.739,3.611
35,5988.0,28.0,CA,San Bernardino,Large fringe metro,"1,804","17,369",0.027,0.022,0.048,0.134,0.768,3.592
36,7600.0,27.0,CA,San Diego,Large central metro,"1,505","24,354",0.017,0.023,0.034,0.126,0.8,3.669
37,4819.0,17.0,CA,San Francisco,Large central metro,188,"6,394",0.017,0.011,0.035,0.121,0.817,3.712
38,1247.0,9.0,CA,San Joaquin,Medium metro,597,"6,214",0.054,0.019,0.081,0.165,0.68,3.396
39,1740.0,6.0,CA,San Luis Obispo,Medium metro,62,"2,332",0.025,0.024,0.037,0.169,0.745,3.585
40,1724.0,8.0,CA,San Mateo,Large fringe metro,223,"4,779",0.016,0.013,0.058,0.126,0.786,3.651
41,1089.0,7.0,CA,Santa Barbara,Medium metro,166,"3,470",0.015,0.02,0.075,0.153,0.737,3.577
